No l b Core CoreMass A_Vb A_Vc "MIPS70 (Jy)" "70 Error (Jy)" "Deltapos ("")" "MIPS24 (Jy)" "24 Error (Jy)" "F_nu(70 mum)/F_nu(24 mum)" ID^e
1 357.1016683 7.1322203473 9 19.4 20.2 24.9 42.1 8.4 0.5 4.715 0.94 8.9 "[BHB2007] 11"
2 357.0813011 7.1434003263 9 19.4 11.1 15.0 10.1 0.709 3.6 9.2 1.84 1.1 "[BHB2007] 7"
3 357.0791981 7.1206529150 9 19.4 8.8 9.9 9.19 0.644 0.7 1.71 0.074 5.4 "[BHB2007] 10"
4 357.0822374 7.2055277565 7 4.0 4.2 7.9 8.49 0.596 0.6 6.32 1.26 1.3 "[BHB2007] 1^f"
5 357.0642426 7.4469050379 -1 0.1 2.4 3.0 2.901 0.203 1.5 6.1 1.25 0.5 "KK Oph"
6 357.0548102 7.1064435107 9 19.4 12.4 15.7 2.07 0.145 1.4 1.54 0.064 1.3 "[BHB2007] 9"
7 357.1201140 7.1275421473 9 19.4 10.5 18.1 1.78 0.125 0.6 0.831 0.034 2.1 "[BHB2007] 13"
8 357.0734913 7.1347490910 9 19.4 7.5 13.0 1.44 0.101 -1.0 0.412 0.017 3.5 "[BHB2007] 8"
9 357.0907926 7.0915924765 9 19.4 10.3 14.4 1.31 0.092 0.9 0.15 0.006 8.7 "[BHB2007] 16"
10 1.755539491 3.8710790263 -1 0.3 2.2 8.5 0.919 0.065 0.6 2.16 0.086 0.4 R
11 357.5760178 6.5231099811 17 1.6 2.2 5.6 0.817 0.058 0.8 0.55 0.022 1.5 "Source 1^g"
12 357.0979797 7.1105318044 9 19.4 12.4 20.3 0.71 0.05 1.5 0.455 0.018 1.6 "[BHB2007] 14"
13 0.184963249 4.2882681310 49 0.8 2.1 6.6 0.688 0.049 3.4 0.906 0.036 0.8 R
14 359.4060567 4.9479847542 40 4.2 1.7 5.1 0.669 0.047 2.5 1.237 0.049 0.5 R
15 2.916926120 4.0899284856 -1 0.3 1.4 4.9 0.469 0.034 0.5 1.346 0.054 0.3 R
16 357.4714335 6.4254904621 -1 0.5 1.5 4.1 0.323 0.023 0.2 0.416 0.017 0.8 "Source 2^g"
17 3.661807365 4.3875746925 -1 1.5 3.7 7.9 0.27 0.02 1.3 0.213 0.009 1.3 none
18 357.1007226 7.1032461872 9 19.4 12.4 15.6 0.246 0.018 -1.0 0.104 0.004 2.4 "[BHB2007] 15"
19 358.6415630 5.7794805904 29 4.3 1.4 4.8 0.241 0.017 1.8 0.014 0.001 16.7 R
20 1.627638632 4.0595999546 92 1.0 1.7 9.3 0.213 0.015 1.4 0.013 0.001 16.2 R
21 357.0506890 7.1352686906 9 19.4 7.5 11.8 0.21 0.016 -1.0 0.155 0.006 1.4 "[BHB2007] 4"
22 1.746720046 6.9754230294 100 2.4 2.8 4.1 0.184 0.013 0.8 0.011 0.001 16.8 R
23 357.0447141 7.1431659153 9 19.4 9.0 12.9 0.11 0.009 1.4 0.095 0.004 1.2 "[BHB2007] 3"
24 358.8438707 5.7581565327 34 9.3 2.3 5.7 0.11 0.009 0.7 0.014 0.001 7.6 none
25 0.615144938 4.6292688430 57 2.8 3.9 8.6 0.104 0.008 2.6 0.014 0.001 7.6 R
26 358.5679955 5.8986651297 29 4.3 8.1 10.6 -1.0 -1.0 -1.0 0.163 0.007 -1.0 none
